symbol,name,sector,cmp,intrinsicValue,dcfPerShare,weightedDcfPerShare,relativeValue,upside,marginOfSafety,mosZone,verdict,wacc,costOfEquity,beta,dcfBear,dcfBull
HONAUT,Honeywell Automation India Limited,Industrials,30050.0,22437.14,18767.02,18549.12,26325.17,-25.3,-33.9,Sell,Overvalued,10.0,10.0,0.5,13036.85,23625.61
HINDALCO,Hindalco Industries Limited,Basic Materials,910.05,679.08,640.25,645.1,713.05,-25.4,-34.0,Sell,Overvalued,9.8,12.0,0.84,62.96,1236.92
VGUARD,V-Guard Industries Limited,Industrials,320.0,238.57,200.94,198.7,278.45,-25.4,-34.1,Sell,Overvalued,10.0,10.0,0.5,92.28,300.64
CIPLA,Cipla Limited,Healthcare,1314.7,977.39,890.6,882.35,1072.44,-25.7,-34.5,Sell,Overvalued,10.0,10.0,0.5,607.97,1140.23
ELECON,Elecon Engineering Company Limited,Industrials,380.65,282.9,254.76,251.95,313.85,-25.7,-34.6,Sell,Overvalued,9.8,10.0,0.5,175.76,322.53
BERGEPAINT,Berger Paints India Limited,Basic Materials,407.8,302.8,240.62,236.62,368.97,-25.7,-34.7,Sell,Overvalued,10.0,10.0,0.5,166.12,299.11
CANBK,Canara Bank,Financial Services,134.68,99.94,0.0,0.0,99.94,-25.8,-34.8,Sell,Overvalued,10.7,10.0,0.5,0.0,0.0
DABUR,Dabur India Limited,Consumer Defensive,453.5,336.42,276.94,273.38,399.46,-25.8,-34.8,Sell,Overvalued,10.0,10.0,0.5,195.32,344.32
FORTIS,Fortis Healthcare Limited,Healthcare,839.75,622.85,541.84,536.33,709.36,-25.8,-34.8,Sell,Overvalued,10.1,10.4,0.57,320.68,740.96
PIDILITIND,Pidilite Industries Limited,Basic Materials,1340.0,992.87,840.29,830.05,1155.69,-25.9,-35.0,Sell,Overvalued,10.0,10.0,0.5,583.89,1055.74
MGL,Mahanagar Gas Limited,Utilities,1035.0,765.32,669.47,655.84,874.8,-26.1,-35.2,Sell,Overvalued,9.9,10.0,0.5,383.63,900.77
THERMAX,Thermax Limited,Industrials,3221.0,2380.49,2056.91,2002.49,2758.48,-26.1,-35.3,Sell,Overvalued,9.7,10.0,0.5,1103.43,2792.72
CARBORUNIV,Carborundum Universal Limited,Industrials,755.6,556.74,472.66,465.29,648.18,-26.3,-35.7,Sell,Overvalued,9.9,10.0,0.5,293.46,622.37
BAYERCROP,Bayer CropScience Limited,Basic Materials,4506.1,3317.69,3043.76,3003.62,3631.76,-26.4,-35.8,Sell,Overvalued,10.0,10.0,0.5,1974.38,3952.59
GODREJCP,Godrej Consumer Products Limited,Consumer Defensive,1027.9,757.01,627.32,619.31,894.71,-26.4,-35.8,Sell,Overvalued,9.8,10.0,0.5,417.0,805.61
BALKRISIND,Balkrishna Industries Limited,Consumer Cyclical,2225.7,1637.03,1368.45,1352.03,1922.03,-26.4,-36.0,Sell,Overvalued,9.5,10.0,0.5,861.92,1809.29
IRCON,Ircon International Limited,Industrials,130.22,95.78,85.57,83.79,107.77,-26.4,-36.0,Sell,Overvalued,8.2,10.0,0.5,61.41,102.6
JSWSTEEL,JSW Steel Limited,Basic Materials,1119.3,822.41,753.22,749.92,894.91,-26.5,-36.1,Sell,Overvalued,9.3,10.6,0.6,227.11,1266.13
NESTLEIND,Nestlé India Limited,Consumer Defensive,1202.2,876.61,754.45,747.15,1006.06,-27.1,-37.1,Sell,Overvalued,10.0,10.0,0.5,465.69,1014.01
CDSL,Central Depository Services (India) Limited,Financial Services,1176.5,857.66,713.45,705.17,1010.16,-27.1,-37.2,Sell,Overvalued,10.0,10.0,0.5,532.77,860.99
HAL,Hindustan Aeronautics Limited,Industrials,3914.4,2850.47,2495.16,2461.51,3239.43,-27.2,-37.3,Sell,Overvalued,10.0,10.0,0.5,1860.92,2994.82
TATAELXSI,Tata Elxsi Limited,Technology,4255.0,3091.3,2496.85,2464.14,3718.46,-27.3,-37.6,Sell,Overvalued,10.0,10.0,0.5,1895.31,2967.54
TITAGARH,Titagarh Rail Systems Limited,Industrials,639.4,462.81,383.75,375.82,549.8,-27.6,-38.2,Sell,Overvalued,9.7,10.0,0.5,269.06,466.73
KAJARIACER,Kajaria Ceramics Limited,Industrials,910.15,658.18,538.84,530.75,785.61,-27.7,-38.3,Sell,Overvalued,9.9,10.0,0.5,369.37,675.95
TTML,Tata Teleservices (Maharashtra) Limited,Communication Services,38.24,27.63,0.0,0.0,27.63,-27.7,-38.4,Sell,Overvalued,7.2,10.0,0.5,0.0,0.0
HAVELLS,Havells India Limited,Industrials,1310.2,945.96,798.43,791.97,1099.95,-27.8,-38.5,Sell,Overvalued,10.0,10.0,0.5,393.46,1177.55
KIRLOSBROS,Kirloskar Brothers Limited,Industrials,1520.2,1094.7,892.69,877.61,1311.79,-28.0,-38.9,Sell,Overvalued,9.9,10.0,0.5,610.9,1114.16
ASIANPAINT,Asian Paints Limited,Basic Materials,2196.8,1579.51,1233.22,1215.48,1943.55,-28.1,-39.1,Sell,Overvalued,9.9,10.0,0.5,866.21,1529.27
DMART,Avenue Supermarts Limited,Consumer Defensive,3834.3,2755.86,2189.46,2164.68,3347.04,-28.1,-39.1,Sell,Overvalued,10.0,10.0,0.5,933.3,3346.52
NEULANDLAB,Neuland Laboratories Limited,Healthcare,12152.0,8731.58,7660.8,7519.53,9943.62,-28.1,-39.2,Sell,Overvalued,9.9,10.0,0.5,4929.99,9826.55
ASTERDM,Aster DM Healthcare Limited,Healthcare,666.95,476.7,396.5,392.1,561.3,-28.5,-39.9,Sell,Overvalued,9.6,10.0,0.5,242.05,533.35
BRITANNIA,Britannia Industries Limited,Consumer Defensive,5808.5,4150.98,3344.0,3297.89,5004.06,-28.5,-39.9,Sell,Overvalued,10.1,10.2,0.53,2240.24,4263.31
DIVISLAB,Divi's Laboratories Limited,Healthcare,6071.0,4338.8,3521.69,3478.8,5198.79,-28.5,-39.9,Sell,Overvalued,10.0,10.0,0.5,2505.75,4366.07
UBL,United Breweries Limited,Consumer Defensive,1642.7,1168.68,912.92,896.27,1441.09,-28.9,-40.6,Sell,Overvalued,9.9,10.0,0.5,547.21,1212.05
POLYMED,Poly Medicure Limited,Healthcare,1260.2,893.84,748.32,742.7,1044.97,-29.1,-41.0,Sell,Overvalued,9.9,10.0,0.5,488.1,986.06
AEGISLOG,AEGIS LOGISTICS LIMITED,Energy,601.9,424.22,301.73,297.06,551.37,-29.5,-41.9,Sell,Overvalued,9.7,10.2,0.54,192.31,392.46
BIKAJI,Bikaji Foods International Limited,Consumer Defensive,603.45,423.56,345.02,340.84,506.28,-29.8,-42.5,Sell,Overvalued,9.9,10.0,0.5,201.7,471.61
MEDANTA,Global Health Limited,Healthcare,1072.1,749.11,538.82,611.68,886.54,-30.1,-43.1,Sell,Overvalued,9.8,10.0,0.5,616.09,753.0
TATATECH,Tata Technologies Limited,Technology,540.35,376.81,297.28,292.94,460.69,-30.3,-43.4,Sell,Overvalued,10.1,10.2,0.53,197.98,379.24
DALBHARAT,Dalmia Bharat Limited,Basic Materials,1839.9,1279.85,1106.55,1081.27,1478.42,-30.4,-43.8,Sell,Overvalued,9.0,10.0,0.5,616.87,1495.11
AXISBANK,Axis Bank Limited,Financial Services,1197.3,825.61,726.97,709.27,941.94,-31.0,-45.0,Sell,Overvalued,10.5,10.0,0.5,374.93,1008.22
WHIRLPOOL,Whirlpool of India Limited,Consumer Cyclical,837.65,576.5,433.38,447.95,705.05,-31.2,-45.3,Sell,Overvalued,10.0,10.0,0.5,275.96,649.09
ARE&M,Amara Raja Energy & Mobility Limited,Industrials,773.7,532.06,475.22,400.65,663.47,-31.2,-45.4,Sell,Overvalued,10.2,10.2,0.54,229.95,422.2
COLPAL,Colgate-Palmolive (India) Limited,Consumer Defensive,1957.2,1344.9,1050.66,1037.36,1652.44,-31.3,-45.5,Sell,Overvalued,10.0,10.0,0.5,808.04,1240.07
FEDERALBNK,The Federal Bank Limited,Financial Services,263.05,180.8,116.1,137.88,223.72,-31.3,-45.5,Sell,Overvalued,10.4,10.0,0.5,160.44,158.86
BOSCHLTD,Bosch Limited,Consumer Cyclical,30185.0,20698.86,16151.54,15949.62,25448.1,-31.4,-45.8,Sell,Overvalued,10.0,10.0,0.5,9558.4,21937.01
UNITDSPR,UNITED SPIRITS LIMITED,Consumer Defensive,1314.4,901.78,720.54,711.09,1092.47,-31.4,-45.8,Sell,Overvalued,10.0,10.0,0.5,484.52,918.78
AIAENG,AIA Engineering Limited,Industrials,3665.3,2502.88,1871.59,1851.88,3153.87,-31.7,-46.4,Sell,Overvalued,9.8,10.0,0.5,1512.86,2151.47
PAGEIND,Page Industries Limited,Consumer Cyclical,30285.0,20675.65,15298.74,15086.27,26265.04,-31.7,-46.5,Sell,Overvalued,10.0,10.0,0.5,10678.08,19069.52
SARDAEN,Sarda Energy & Minerals Limited,Basic Materials,530.35,360.36,304.43,300.26,420.45,-32.1,-47.2,Sell,Overvalued,9.5,10.0,0.5,218.32,373.86
VOLTAS,Voltas Limited,Consumer Cyclical,1414.2,960.41,754.38,734.96,1185.87,-32.1,-47.2,Sell,Overvalued,9.8,10.0,0.5,396.91,1034.16
APLAPOLLO,APL Apollo Tubes Limited,Basic Materials,1933.2,1308.11,877.76,952.95,1663.26,-32.3,-47.8,Sell,Overvalued,10.0,10.0,0.5,725.67,1330.61
EXIDEIND,Exide Industries Limited,Consumer Cyclical,296.6,198.38,178.19,141.21,255.55,-33.1,-49.5,Sell,Overvalued,9.8,10.0,0.5,85.32,123.16
SRF,SRF Limited,Industrials,2499.7,1672.48,1276.85,1259.6,2085.36,-33.1,-49.5,Sell,Overvalued,9.7,10.0,0.5,801.65,1683.04
ICICIBANK,ICICI Bank Limited,Financial Services,1254.8,837.73,618.27,605.95,1069.5,-33.2,-49.8,Sell,Overvalued,10.2,10.0,0.5,456.55,730.72
INDUSTOWER,Indus Towers Limited,Communication Services,423.95,280.56,197.29,194.79,366.32,-33.8,-51.1,Sell,Overvalued,9.5,10.0,0.5,114.28,270.31
JSWCEMENT,JSW CEMENT LIMITED,Basic Materials,115.81,76.52,78.42,59.84,93.2,-33.9,-51.3,Sell,Overvalued,11.6,13.0,1.0,38.0,44.52
ADANIENT,Adani Enterprises Limited,Energy,1961.1,1290.05,999.71,957.03,1623.07,-34.2,-52.0,Sell,Overvalued,8.0,10.0,0.5,171.52,1657.17
ABB,ABB India Limited,Industrials,6392.5,4190.51,2996.78,2953.27,5427.74,-34.4,-52.5,Sell,Overvalued,10.0,10.0,0.5,2085.56,3733.96
FINPIPE,Finolex Industries Limited,Industrials,184.42,120.75,80.6,79.34,162.17,-34.5,-52.7,Sell,Overvalued,10.0,10.0,0.5,64.25,91.91
IFCI,IFCI Limited,Financial Services,57.21,37.38,21.73,21.83,52.93,-34.7,-53.0,Sell,Overvalued,10.2,10.0,0.5,24.85,19.0
ASTRAL,Astral Limited,Industrials,1611.8,1051.88,760.0,749.88,1353.88,-34.7,-53.2,Sell,Overvalued,10.0,10.0,0.5,463.83,1015.7
BHARTIHEXA,BHARTI HEXACOM LIMITED,Communication Services,1472.5,960.9,668.39,657.35,1264.46,-34.7,-53.2,Sell,Overvalued,12.5,13.0,1.0,498.75,793.86
RITES,RITES Limited,Industrials,196.84,128.09,77.07,87.37,168.8,-34.9,-53.7,Sell,Overvalued,10.0,10.0,0.5,98.2,97.13
HYUNDAI,HYUNDAI MOTOR INDIA LTD,Consumer Cyclical,2018.0,1312.33,984.34,967.74,1656.92,-35.0,-53.8,Sell,Overvalued,13.0,13.0,1.0,577.3,1324.97
MAXHEALTH,Max Healthcare Institute Limited,Healthcare,990.0,638.4,455.43,449.17,827.63,-35.5,-55.1,Sell,Overvalued,9.8,10.0,0.5,301.33,584.51
DEEPAKNTR,Deepak Nitrite Limited,Basic Materials,1448.4,930.68,697.76,675.66,1185.7,-35.7,-55.6,Sell,Overvalued,9.6,10.0,0.5,338.66,968.47
RVNL,Rail Vikas Nigam Limited,Industrials,271.25,174.16,125.68,119.12,229.2,-35.8,-55.7,Sell,Overvalued,11.8,12.2,0.86,13.73,211.4
ALKYLAMINE,Alkyl Amines Chemicals Limited,Basic Materials,1278.4,819.72,561.6,552.27,1087.17,-35.9,-56.0,Sell,Overvalued,10.0,10.0,0.5,416.46,669.44
BLUESTARCO,Blue Star Limited,Industrials,1833.2,1173.26,782.99,765.08,1581.44,-36.0,-56.2,Sell,Overvalued,9.8,10.0,0.5,316.95,1177.39
AKZOINDIA,JSW Dulux Limited,Basic Materials,2866.0,1827.02,1184.91,1164.31,2489.74,-36.3,-56.9,Sell,Overvalued,10.0,10.0,0.5,971.12,1316.31
CUMMINSIND,Cummins India Limited,Industrials,4649.7,2956.8,1942.07,1915.02,3998.58,-36.4,-57.3,Sell,Overvalued,10.0,10.0,0.5,1530.8,2245.14
AMBUJACEM,Ambuja Cements Limited,Basic Materials,425.35,268.89,195.71,190.78,347.01,-36.8,-58.2,Sell,Overvalued,10.0,10.0,0.5,86.27,285.44
KPRMILL,K.P.R. Mill Limited,Consumer Cyclical,839.2,526.44,337.98,332.74,720.14,-37.3,-59.4,Sell,Overvalued,10.0,10.0,0.5,253.72,401.26
BIOCON,Biocon Limited,Healthcare,383.55,238.13,205.32,199.95,276.31,-37.9,-61.1,Sell,Overvalued,8.7,10.0,0.5,107.32,281.86
ACE,Action Construction Equipment Limited,Industrials,840.55,517.59,324.49,318.65,716.52,-38.4,-62.4,Sell,Overvalued,10.0,10.0,0.5,215.31,410.32
SYNGENE,Syngene International Limited,Healthcare,420.85,256.51,174.62,171.36,341.66,-39.0,-64.1,Sell,Overvalued,9.9,10.0,0.5,137.93,198.25
IDFCFIRSTB,IDFC First Bank Limited,Financial Services,62.57,37.66,24.95,25.75,49.58,-39.8,-66.1,Sell,Overvalued,10.5,10.0,0.5,0.0,53.11
GODIGIT,GO DIGIT GENERAL INS LTD,Financial Services,334.65,200.98,124.76,121.44,280.52,-39.9,-66.5,Sell,Overvalued,13.0,13.0,1.0,53.61,182.64
SHREECEM,Shree Cement Limited,Basic Materials,22965.0,13790.78,9391.25,9200.7,18380.86,-39.9,-66.5,Sell,Overvalued,9.9,10.0,0.5,6413.62,11606.7
SUPREMEIND,The Supreme Industries Limited,Industrials,3886.5,2331.08,1310.38,1471.14,3191.02,-40.0,-66.7,Sell,Overvalued,10.0,10.0,0.5,1395.74,1868.07
CLEAN,Clean Science and Technology Limited,Basic Materials,700.15,415.51,260.93,258.01,573.01,-40.7,-68.5,Sell,Overvalued,10.0,10.0,0.5,224.47,285.73
SAIL,Steel Authority of India Limited,Basic Materials,149.89,88.95,59.1,71.45,106.45,-40.7,-68.5,Sell,Overvalued,10.3,12.6,0.94,0.0,167.59
TORNTPOWER,Torrent Power Limited,Utilities,1461.3,867.1,513.04,504.0,1230.2,-40.7,-68.5,Sell,Overvalued,9.7,10.0,0.5,230.96,758.94
MAHSCOOTER,Maharashtra Scooters Ltd.,Financial Services,12629.0,7480.64,4541.79,4492.28,10468.99,-40.8,-68.8,Sell,Overvalued,10.0,10.0,0.5,3879.05,5006.48
SUMICHEM,Sumitomo Chemical India Limited,Basic Materials,381.25,224.25,133.71,131.9,316.61,-41.2,-70.0,Sell,Overvalued,10.0,10.0,0.5,113.38,146.78
RAMCOCEM,The Ramco Cements Limited,Basic Materials,977.0,573.32,403.0,388.42,758.21,-41.3,-70.4,Sell,Overvalued,9.2,10.0,0.5,149.08,598.59
GUJGASLTD,Gujarat Gas Limited,Utilities,374.3,217.24,121.36,117.8,316.67,-42.0,-72.3,Sell,Overvalued,10.0,10.0,0.5,75.34,153.14
TIMKEN,Timken India Limited,Industrials,3445.4,1996.68,1134.14,1292.36,2701.01,-42.0,-72.6,Sell,Overvalued,10.0,10.0,0.5,1249.97,1651.18
ITI,ITI Limited,Technology,242.3,140.14,0.0,0.0,140.14,-42.2,-72.9,Sell,Overvalued,10.1,10.0,0.5,0.0,0.0
IDBI,IDBI Bank Limited,Financial Services,92.18,53.26,30.45,29.64,76.88,-42.2,-73.1,Sell,Overvalued,10.3,10.0,0.5,20.15,37.5
NTPCGREEN,NTPC GREEN ENERGY LIMITED,Utilities,98.15,56.71,36.95,36.08,77.35,-42.2,-73.1,Sell,Overvalued,11.1,13.0,1.0,5.02,65.41
DIXON,Dixon Technologies (India) Limited,Technology,10338.0,5844.69,3452.2,3485.86,8203.52,-43.5,-76.9,Sell,Overvalued,10.0,10.0,0.5,327.47,6711.57
IRB,IRB Infrastructure Developers Limited,Industrials,41.56,23.42,15.32,15.03,31.81,-43.6,-77.5,Sell,Overvalued,8.2,10.0,0.5,9.88,19.59
JWL,Jupiter Wagons Limited,Industrials,262.15,147.47,66.68,64.92,230.02,-43.7,-77.8,Sell,Overvalued,9.8,10.0,0.5,47.85,78.48
MMTC,MMTC Limited,Industrials,53.29,29.78,13.55,13.56,46.0,-44.1,-78.9,Sell,Overvalued,10.1,10.1,0.51,12.76,14.38
FLUOROCHEM,Gujarat Fluorochemicals Limited,Basic Materials,3070.6,1703.86,923.05,906.58,2501.13,-44.5,-80.2,Sell,Overvalued,9.8,10.0,0.5,635.44,1144.78
DEEPAKFERT,Deepak Fertilisers And Petrochemicals Corporation Limited,Basic Materials,943.55,519.14,333.03,321.4,716.88,-45.0,-81.8,Sell,Overvalued,9.1,10.0,0.5,0.0,619.53
NTPC,NTPC Limited,Utilities,384.45,210.54,70.92,85.59,335.48,-45.2,-82.6,Sell,Overvalued,7.5,10.0,0.5,0.0,200.54
VTL,Vardhman Textiles Limited,Consumer Cyclical,536.75,292.37,163.79,156.07,428.66,-45.5,-83.6,Sell,Overvalued,9.5,10.0,0.5,46.95,249.75
GPIL,Godawari Power & Ispat Limited,Basic Materials,251.55,134.28,68.27,66.93,201.62,-46.6,-87.3,Sell,Overvalued,11.1,11.1,0.68,53.8,77.37
TATASTEEL,Tata Steel Limited,Basic Materials,183.51,97.75,85.09,83.2,112.29,-46.7,-87.7,Sell,Overvalued,10.2,12.1,0.85,5.99,156.64
IGIL,International Gemmological Institute (India) Limited,Basic Materials,308.85,160.91,56.51,57.24,264.58,-47.9,-91.9,Sell,Overvalued,12.9,13.0,1.0,66.37,49.58
JUBLINGREA,Jubilant Ingrevia Limited,Basic Materials,557.6,290.5,103.46,128.51,452.5,-47.9,-91.9,Sell,Overvalued,9.6,10.0,0.5,124.98,182.13
BLUEJET,Blue Jet Healthcare Limited,Healthcare,358.4,183.95,81.41,82.53,285.38,-48.7,-94.8,Sell,Overvalued,10.0,10.0,0.5,96.88,70.44
MAPMYINDIA,C. E. Info Systems Limited,Technology,934.2,478.27,202.78,201.15,755.39,-48.8,-95.3,Sell,Overvalued,10.0,10.0,0.5,192.51,206.53
SAREGAMA,Saregama India Limited,Communication Services,342.6,173.54,47.55,49.05,298.03,-49.3,-97.4,Sell,Overvalued,10.6,10.6,0.61,59.96,41.16
PIIND,PI Industries Limited,Basic Materials,2896.3,1461.28,574.67,571.11,2351.45,-49.5,-98.2,Sell,Overvalued,10.0,10.0,0.5,571.57,563.53
PPLPHARMA,Piramal Pharma Limited,Healthcare,139.81,70.14,42.45,40.96,99.31,-49.8,-99.3,Sell,Overvalued,9.3,10.0,0.5,10.23,68.73
GAIL,GAIL (India) Limited,Utilities,147.78,74.13,23.9,30.93,117.33,-49.8,-99.4,Sell,Overvalued,8.8,10.0,0.5,2.23,73.67
JINDALSTEL,Jindal Steel Limited,Basic Materials,1143.3,569.88,232.4,239.19,900.57,-50.2,-100.6,Sell,Overvalued,10.1,10.8,0.64,0.0,491.97
TRIDENT,Trident Limited,Consumer Cyclical,22.94,11.38,5.47,5.27,17.48,-50.4,-101.6,Sell,Overvalued,9.5,10.0,0.5,1.49,8.66
DELHIVERY,Delhivery Limited,Industrials,403.25,196.42,89.87,98.83,294.02,-51.3,-105.3,Sell,Overvalued,9.8,10.0,0.5,43.21,172.35
GMDCLTD,Gujarat Mineral Development Corporation Limited,Energy,528.75,254.56,96.04,93.3,415.81,-51.9,-107.7,Sell,Overvalued,9.9,10.0,0.5,72.5,108.61
ADANIPOWER,Adani Power Limited,Utilities,146.57,70.2,22.24,21.67,118.74,-52.1,-108.8,Sell,Overvalued,9.2,10.0,0.5,13.84,28.37
BEML,BEML Limited,Industrials,1525.4,728.58,65.95,165.91,1291.25,-52.2,-109.4,Sell,Overvalued,9.8,10.0,0.5,0.0,531.76
INFY,Infosys Limited,Technology,1248.3,595.61,358.24,352.0,839.21,-52.3,-109.6,Sell,Overvalued,10.0,10.0,0.5,270.05,421.46
OIL,Oil India Limited,Energy,470.55,218.08,59.01,56.74,379.42,-53.7,-115.8,Sell,Overvalued,8.0,10.0,0.5,0.0,108.96
WELSPUNLIV,Welspun Living Limited,Consumer Cyclical,112.1,51.8,12.69,15.14,88.45,-53.8,-116.4,Sell,Overvalued,9.1,10.0,0.5,2.69,32.48
VBL,Varun Beverages Limited,Consumer Defensive,401.3,184.64,93.36,91.34,277.95,-54.0,-117.3,Sell,Overvalued,9.9,10.0,0.5,29.77,148.89
SOBHA,Sobha Limited,Real Estate,1294.4,584.58,168.14,158.33,1010.82,-54.8,-121.4,Sell,Overvalued,10.1,10.0,0.5,77.02,220.02
TATACHEM,Tata Chemicals Limited,Basic Materials,670.8,298.39,56.95,76.55,520.23,-55.5,-124.8,Sell,Overvalued,8.4,10.0,0.5,0.0,192.31
NSLNISP,NMDC Steel Limited,Basic Materials,36.6,16.01,0.0,0.0,16.01,-56.3,-128.6,Sell,Overvalued,9.7,10.0,0.5,0.0,0.0
VEDL,Vedanta Limited,Basic Materials,689.55,299.16,0.0,1.93,596.39,-56.6,-130.5,Sell,Overvalued,10.0,11.4,0.73,7.73,0.0
PCBL,PCBL Chemical Limited,Basic Materials,253.2,109.06,21.35,29.07,189.06,-56.9,-132.2,Sell,Overvalued,8.8,10.0,0.5,0.0,73.6
ADANIGREEN,Adani Green Energy Limited,Utilities,861.35,367.11,29.01,54.35,679.86,-57.4,-134.6,Sell,Overvalued,8.6,11.4,0.73,0.0,159.38
AIIL,Authum Investment & Infrastructure Limited,Financial Services,474.8,200.2,0.0,0.39,400.01,-57.8,-137.2,Sell,Overvalued,9.5,10.0,0.5,1.54,0.0
ONESOURCE,ONESOURCE SPECL PHARMA L,Healthcare,1491.2,625.99,3.83,12.32,1239.66,-58.0,-138.2,Sell,Overvalued,12.7,13.0,1.0,37.39,4.22
SAMMAANCAP,Sammaan Capital Limited,Financial Services,140.12,58.06,0.0,0.0,58.06,-58.6,-141.3,Sell,Overvalued,8.4,10.7,0.61,0.0,0.0
BDL,Bharat Dynamics Limited,Industrials,1312.0,543.22,150.3,145.81,940.62,-58.6,-141.5,Sell,Overvalued,10.0,10.0,0.5,125.38,157.28
ACMESOLAR,ACME SOLAR HOLDINGS LTD,Utilities,255.61,255.57,317.4,314.1,197.04,-0.0,-0.0,Hold,Fairly Valued,9.0,13.0,1.0,78.35,543.24
