symbol,name,type,sector,industry,cmp,change_pct,market_cap_cr,promoter_holding_pct,pe_ratio,pb_ratio,roe_pct,debt_to_equity,dividend_yield_pct,revenue_growth_pct,earnings_growth_pct,fcf_cr,52w_high,52w_low,pct_from_52w_high,target_price,analyst_upside_pct,fundamental_score,valuation_grade,valuation_detail,trend,rsi,vwap,supertrend,supertrend_signal,signal,signal_strength,signal_details,risk_level,risk_score,volatility_ann,volatility_percentile,daily_return_pct,bb_pct_b,bb_width_pct,atr_pct,max_drawdown_pct,current_drawdown_pct,ma50_deviation_pct,ma200_deviation_pct,intrinsic_value,dcf_upside_pct,wacc_used,fcf_growth_used,recommendation,recommendation_rank,rationale
ANANTRAJ.NS,ANANTRAJ,STOCK,Unknown,,441.95,-1.79,15913.5,64.8,29.1,3.45,,12.7,16.0,20.0,28.2,,743.65,376.15,-40.6,721.0,63.1,66.87500000000001,FAIR,"PE: expensive, PB: fair",BEARISH,24.9,515.9,501.48,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (516) | Supertrend SELL,HIGH,76.0,31.5,16.3,-1.79,2.7,28.28,4.68,-39.9,-39.9,-16.97,-22.36,0.98,-99.8,10.6,-5.0,ACCUMULATE,1,Good fundamentals (67/100). Fairly valued. Bearish trend. High risk (score 76/100). Analysts see 63% upside
PIXTRANS.NS,PIXTRANS,STOCK,Unknown,,1409.1,0.54,1923.3,66.9,17.6,3.01,,4.7,64.0,8.4,58.5,,1799.6,1220.1,-21.7,,,70.87500000000001,FAIR,"PE: fair, PB: fair",WEAK,45.0,1490.2,1318.59,BUY,HOLD,-1,Supertrend BUY | MACD negative | Price below VWAP (1490),MEDIUM,49.0,36.9,62.4,0.54,11.8,9.99,3.79,-27.8,-19.6,0.76,-3.33,2486.81,76.5,11.9,35.0,ACCUMULATE,1,Strong fundamentals (71/100). Fairly valued. Weak price trend. Medium risk (score 49/100)
DAMCAPITAL.NS,DAMCAPITAL,STOCK,Unknown,,121.69,-3.12,860.2,42.6,10.6,2.78,,1.3,80.0,-34.6,-61.0,,303.5,119.22,-59.9,,,65.87500000000001,CHEAP,"PE: cheap, PB: fair",BEARISH,20.0,143.52,143.37,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (144) | Supertrend SELL,HIGH,81.0,36.6,31.3,-3.12,8.1,41.81,5.32,-59.1,-59.1,-29.28,-45.14,73.33,-39.7,14.9,-5.0,ACCUMULATE,1,Good fundamentals (66/100). Attractively valued. Bearish trend. High risk (score 81/100)
INDRAMEDCO.NS,INDRAMEDCO,STOCK,Unknown,,391.6,2.27,3591.5,57.9,19.6,5.45,,4.8,118.0,14.4,24.9,,640.85,317.15,-38.9,630.0,60.9,67.87500000000001,FAIR,"PE: fair, PB: expensive",BEARISH,45.7,400.38,376.17,BUY,HOLD,-1,Supertrend BUY | MACD negative | Price below VWAP (400),MEDIUM,50.0,33.2,23.3,2.27,23.8,10.34,3.96,-43.9,-37.1,-2.2,-15.13,334.74,-14.5,12.0,23.7,ACCUMULATE,1,Good fundamentals (68/100). Fairly valued. Bearish trend. Medium risk (score 50/100). Analysts see 61% upside
ZAGGLE.NS,ZAGGLE,STOCK,Unknown,,216.08,-0.21,2911.1,53.1,22.4,2.21,,1.4,,56.0,71.9,,469.8,210.4,-54.0,480.0,122.1,71.37500000000001,FAIR,"PE: fair, PB: fair",BEARISH,35.2,233.97,246.52,SELL,SELL,-4,Momentum falling | Price below VWAP (234) | Supertrend SELL,HIGH,77.0,56.1,77.4,-0.21,26.6,26.73,5.66,-53.1,-53.0,-20.95,-39.38,,,,,ACCUMULATE,1,Strong fundamentals (71/100). Fairly valued. Bearish trend. High risk (score 77/100). Analysts see 122% upside
UNIECOM.NS,UNIECOM,STOCK,Unknown,,93.43,-2.32,1050.1,48.1,51.6,5.98,,5.9,,72.2,12.5,,155.8,91.7,-40.0,172.0,84.1,62.125000000000014,EXPENSIVE,"PE: very expensive, PB: expensive",BEARISH,34.2,116.39,108.64,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (116) | Supertrend SELL,HIGH,91.0,81.4,99.6,-2.32,11.3,27.72,5.83,-38.4,-38.4,-12.84,-25.05,48.66,-47.9,14.7,32.2,HOLD,2,Good fundamentals (62/100). Expensively valued. Bearish trend. High risk (score 91/100). Analysts see 84% upside
TARIL.NS,TARIL,STOCK,Unknown,,266.05,-3.9,7985.9,64.4,29.7,5.94,,26.7,7.0,31.7,34.1,,594.0,224.05,-55.2,398.5,49.8,66.62500000000001,EXPENSIVE,"PE: expensive, PB: expensive",BEARISH,41.4,298.63,260.18,BUY,HOLD,-1,Supertrend BUY | MACD negative | Price below VWAP (299),HIGH,76.0,59.0,59.7,-3.9,0.7,18.68,6.0,-60.0,-53.6,-4.23,-33.98,,,,,HOLD,2,Good fundamentals (67/100). Expensively valued. Bearish trend. High risk (score 76/100). Analysts see 50% upside
QPOWER.NS,QPOWER,STOCK,Unknown,,795.75,2.37,6162.6,75.5,57.8,13.12,,5.5,13.0,291.3,161.8,,1082.0,267.8,-26.5,1550.0,94.8,69.37500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",WEAK,47.5,855.85,760.61,BUY,HOLD,-1,Supertrend BUY | MACD negative | Price below VWAP (856),MEDIUM,62.0,50.2,25.6,2.37,19.6,18.3,5.85,-44.3,-25.6,3.01,0.68,184.98,-76.8,13.7,35.0,HOLD,2,Good fundamentals (69/100). Very expensive valuation. Weak price trend. Medium risk (score 62/100). Analysts see 95% upside
BHARTIHEXA.NS,BHARTIHEXA,STOCK,Unknown,,1486.4,0.94,74320.0,85.0,42.4,11.06,28.8,94.7,68.0,4.8,81.4,2016.5,2052.9,1260.0,-27.6,1904.0,28.1,54.41666666666667,EXPENSIVE,"PE: expensive, PB: very expensive",BEARISH,29.7,1606.98,1626.82,SELL,HOLD,1,Momentum rising | RSI oversold | MACD negative | Price below VWAP (1607) | Supertrend SELL,MEDIUM,53.0,22.5,10.1,0.94,4.1,17.2,3.21,-25.4,-24.7,-9.55,-14.94,3005.71,102.2,10.0,35.0,HOLD,2,Average fundamentals (54/100). Expensively valued. Bearish trend. Medium risk (score 53/100). Analysts see 28% upside
NSDL.NS,NSDL,STOCK,Unknown,,,,,,,,,,,,,,,,,,,0.0,UNKNOWN,Insufficient valuation data,UNKNOWN,,,,,NO_DATA,0,,UNKNOWN,,,,,,,,,,,,,,,,HOLD,2,No fundamental data
CDSL.NS,CDSL,STOCK,Unknown,,1184.5,0.68,24756.1,0.0,51.9,14.21,,0.1,106.0,11.9,2.4,,1828.9,1047.45,-35.2,1380.7858,16.6,67.37500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",BEARISH,34.2,1257.98,1300.24,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (1258) | Supertrend SELL,MEDIUM,63.0,29.0,51.1,0.68,13.9,18.61,3.28,-34.3,-33.8,-11.38,-22.5,359.64,-69.6,10.0,9.6,HOLD,2,Good fundamentals (67/100). Very expensive valuation. Bearish trend. Medium risk (score 63/100). Analysts see 17% upside
CGPOWER.NS,CGPOWER,STOCK,Unknown,,698.65,-1.58,110031.4,60.0,97.4,14.75,,1.5,18.0,26.2,15.3,,797.55,517.7,-12.4,692.4375,-0.9,57.125000000000014,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",NEUTRAL,50.8,710.9,670.75,BUY,SELL,-4,Momentum falling | MACD negative | Price below VWAP (711),MEDIUM,41.0,35.2,76.2,-1.58,28.7,8.16,3.69,-33.0,-11.6,6.79,1.47,67.73,-90.3,10.0,10.9,HOLD,2,Good fundamentals (57/100). Very expensive valuation. Medium risk (score 41/100)
URBANCO.NS,URBANCO,STOCK,Unknown,,113.24,2.82,16557.7,36.5,,7.42,,6.0,,32.9,,,201.18,100.7,-43.7,129.75,14.6,54.25000000000001,EXPENSIVE,PB: expensive,NEUTRAL,48.6,109.71,116.58,SELL,HOLD,1,MACD positive | Price above VWAP (110) | Supertrend SELL,MEDIUM,54.0,38.1,64.7,2.82,59.7,17.39,4.12,-44.8,-39.4,-6.78,,6.38,-94.4,13.6,26.3,HOLD,2,Average fundamentals (54/100). Expensively valued. Medium risk (score 54/100)
INDHOTEL.NS,INDHOTEL,STOCK,Unknown,,613.35,0.57,87306.2,39.4,43.5,7.55,,25.0,37.0,11.9,55.3,,858.0,595.0,-28.5,832.16,35.7,69.62500000000001,EXPENSIVE,"PE: expensive, PB: expensive",BEARISH,31.9,644.67,658.17,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (645) | Supertrend SELL,MEDIUM,57.0,23.7,62.6,0.57,16.4,17.83,3.05,-27.4,-27.0,-8.86,-15.83,406.73,-33.7,9.3,35.0,HOLD,2,Good fundamentals (70/100). Expensively valued. Bearish trend. Medium risk (score 57/100). Analysts see 36% upside
HBLENGINE.NS,HBLENGINE,STOCK,Unknown,,656.25,-0.34,18190.9,8.1,22.9,9.17,,4.4,30.0,94.0,244.2,,1122.0,405.0,-41.5,,,74.12500000000001,EXPENSIVE,"PE: fair, PB: very expensive",BEARISH,38.3,689.92,729.51,SELL,SELL,-4,Momentum falling | Price below VWAP (690) | Supertrend SELL,MEDIUM,56.0,39.1,43.8,-0.34,20.7,17.23,4.7,-41.1,-40.1,-13.77,-14.93,188.43,-71.3,10.9,35.0,HOLD,2,Strong fundamentals (74/100). Expensively valued. Bearish trend. Medium risk (score 56/100)
GRSE.NS,GRSE,STOCK,Unknown,,2304.5,-0.2,26402.8,74.5,38.4,11.49,,1.4,116.0,49.1,74.0,,3538.4,1303.1,-34.9,3263.0,41.6,67.87500000000001,EXPENSIVE,"PE: expensive, PB: very expensive",BEARISH,40.8,2447.81,2302.25,BUY,SELL,-4,Momentum falling | MACD negative | Price below VWAP (2448),HIGH,67.0,38.1,36.1,-0.2,-0.6,10.11,4.49,-36.1,-33.6,-5.69,-11.79,,,,,HOLD,2,Good fundamentals (68/100). Expensively valued. Bearish trend. High risk (score 67/100). Analysts see 42% upside
GRAVITA.NS,GRAVITA,STOCK,Unknown,,1399.9,-1.42,10196.4,58.0,26.6,4.51,,19.6,81.0,2.1,14.6,,2170.0,1379.65,-35.5,2132.3,52.3,55.375000000000014,EXPENSIVE,"PE: expensive, PB: expensive",BEARISH,24.3,1538.07,1588.04,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (1538) | Supertrend SELL,HIGH,67.0,27.9,30.8,-1.42,-6.5,18.01,3.95,-33.8,-33.8,-13.13,-18.12,505.91,-63.9,10.5,14.6,HOLD,2,Good fundamentals (55/100). Expensively valued. Bearish trend. High risk (score 67/100). Analysts see 52% upside
BLSE.NS,BLSE,STOCK,Unknown,,142.33,1.51,1290.3,76.5,23.1,2.56,,1.4,107.0,119.9,24.1,,232.5,124.3,-38.8,,,65.62500000000001,FAIR,"PE: fair, PB: fair",BEARISH,40.7,141.64,152.92,SELL,HOLD,1,MACD positive | Price above VWAP (142) | Supertrend SELL,HIGH,67.0,46.3,68.7,1.51,37.4,34.51,5.72,-42.6,-36.5,-12.85,-23.49,229.51,61.3,12.0,35.0,HOLD,2,Good fundamentals (66/100). Fairly valued. Bearish trend. High risk (score 67/100)
KRN.NS,KRN,STOCK,Unknown,,850.25,-0.67,5284.9,76.2,77.6,10.0,,5.8,,37.5,72.2,,1031.8,589.8,-17.6,937.0,10.2,65.37500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",NEUTRAL,49.0,920.74,831.07,BUY,HOLD,-1,Supertrend BUY | MACD negative | Price below VWAP (921),MEDIUM,63.0,68.3,99.6,-0.67,35.4,34.69,5.87,-37.4,-14.9,10.25,4.75,,,,,HOLD,2,Good fundamentals (65/100). Very expensive valuation. Medium risk (score 63/100)
MAXHEALTH.NS,MAXHEALTH,STOCK,Unknown,,970.6,-1.96,94526.7,26.5,66.7,9.45,,32.6,15.0,10.7,26.6,,1314.3,933.8,-26.2,1205.7916,24.2,57.375000000000014,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",BEARISH,28.6,1055.11,1074.98,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (1055) | Supertrend SELL,MEDIUM,55.0,21.2,8.8,-1.96,-13.6,13.28,2.85,-26.7,-25.3,-6.15,-14.79,254.69,-73.8,9.2,33.5,HOLD,2,Good fundamentals (57/100). Very expensive valuation. Bearish trend. Medium risk (score 55/100). Analysts see 24% upside
MTARTECH.NS,MTARTECH,STOCK,Unknown,,3438.2,1.48,10582.7,30.4,166.3,14.21,,25.1,,59.3,117.3,,3920.0,1155.6,-12.3,4257.25,23.8,50.12500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",NEUTRAL,48.3,3665.77,3265.69,BUY,HOLD,2,Momentum rising | Supertrend BUY | MACD negative | Price below VWAP (3666),HIGH,71.0,47.6,69.6,1.48,3.6,12.58,5.64,-21.2,-9.7,8.3,54.16,,,,,REDUCE,3,Average fundamentals (50/100). Very expensive valuation. High risk (score 71/100). Analysts see 24% upside
