symbol,name,sector,industry,cmp,market_cap_cr,volume_today,avg_volume_20d,avg_volume_5d,volume_ratio,vol_trend_ratio,price_change_pct,price_change_5d_pct,price_change_20d_pct,52w_high,52w_low,pct_from_52w_high,breakout_strength,breakout_type,pattern,conviction,composite_score,fundamental_score,composite_rank,in_portfolio
SANOFICONR.NS,Sanofi Consumer Healthcare India Limited,Healthcare,Drug Manufacturers - General,4565.0,10436.2,292581,4778,6170,61.23,1.29,13.86,12.81,12.55,5696.0,3999.5,-19.9,EXTREME,BULLISH,ACCUMULATION,90,74.93333333333334,74.41666666666667,10,False
KSB.NS,Ksb Limited,Industrials,Specialty Industrial Machinery,773.55,13234.8,2716898,80101,98819,33.92,1.23,7.87,8.41,13.52,884.1,605.23,-12.5,EXTREME,BULLISH,ACCUMULATION,85,60.15000000000002,55.500000000000014,307,True
SANOFI.NS,Sanofi India Limited,Healthcare,Drug Manufacturers - General,3989.3,9233.5,69944,12586,12221,5.56,0.97,-3.52,-0.87,-1.94,6350.54,3989.3,-37.2,EXTREME,BEARISH,REVERSAL FROM LOW,60,47.18333333333335,49.08333333333334,955,False
JAIBALAJI.NS,Jai Balaji Industries Limited,Basic Materials,Steel,72.7,6677.7,16092539,2995869,7601627,5.37,2.54,6.54,11.83,5.39,152.04,60.48,-52.2,EXTREME,BULLISH,ACCUMULATION,75,48.58333333333334,43.79166666666667,892,False
RGL.NS,Renaissance Global Limited,Consumer Cyclical,Luxury Goods,134.61,1443.5,8220903,1700089,4083332,4.84,2.4,4.96,24.29,24.27,142.13,105.0,-5.3,EXTREME,BULLISH,ACCUMULATION,74,52.05833333333334,44.29166666666667,701,False
SUMEETINDS.NS,Sumeet Industries Limited,Consumer Cyclical,Textile Manufacturing,26.2,1388.4,388483,84764,78783,4.58,0.93,7.29,11.16,-1.24,38.99,11.19,-32.8,EXTREME,BULLISH,VOLUME SPIKE,74,54.60833333333335,52.375000000000014,566,False
PDMJEPAPER.NS,Pudumjee Paper Products Limited,Basic Materials,Paper & Paper Products,85.87,822.7,499107,117759,132959,4.24,1.13,5.36,3.66,4.25,143.45,81.06,-40.1,EXTREME,BULLISH,REVERSAL FROM LOW,74,63.90000000000001,62.875000000000014,168,False
MANAKCOAT.NS,Manaksia Coated Metals & Industries Limited,Industrials,Metal Fabrication,114.75,1218.4,2236268,569759,1872417,3.92,3.29,0.31,-5.55,-9.74,180.31,73.7,-36.4,STRONG,NEUTRAL,DISTRIBUTION,39,39.50000000000001,39.66666666666667,1196,False
MAHSEAMLES.NS,Maharashtra Seamless Limited,Basic Materials,Steel,561.4,7581.7,375505,104485,102078,3.59,0.98,3.07,5.97,8.54,751.77,506.45,-25.3,STRONG,BULLISH,ACCUMULATION,74,64.98333333333335,61.91666666666667,130,True
ORIENTELEC.NS,Orient Electric Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",186.08,3962.7,558748,162441,114507,3.44,0.7,6.34,6.41,4.12,243.8,158.74,-23.7,STRONG,BULLISH,VOLUME SPIKE,69,44.12500000000001,36.87500000000001,1080,False
VIJAYA.NS,Vijaya Diagnostic Centre Limited,Healthcare,Diagnostics & Research,955.4,10265.5,285263,86976,73107,3.28,0.84,1.09,1.45,-6.5,1141.9,889.41,-16.3,STRONG,NEUTRAL,REVERSAL FROM LOW,54,60.50833333333335,62.500000000000014,289,True
CONCORDBIO.NS,Concord Biotech Limited,Healthcare,Biotechnology,1239.0,12795.6,2100133,884125,2346902,2.38,2.65,0.66,10.89,3.93,2116.9,1076.1,-41.5,MODERATE,NEUTRAL,ACCUMULATION,43,65.60000000000002,65.00000000000001,107,True
RITCO.NS,Ritco Logistics Limited,Industrials,Integrated Freight & Logistics,230.52,659.1,142317,60499,53016,2.35,0.88,1.83,1.22,-3.93,310.85,222.18,-25.8,MODERATE,BULLISH,REVERSAL FROM LOW,47,45.01666666666668,42.95833333333334,1046,False
DIACABS.NS,Diamond Power Infrastructure Limited,Industrials,Specialty Industrial Machinery,141.43,7377.6,3292452,1561482,1597520,2.11,1.02,3.52,5.15,14.29,178.09,83.36,-20.6,MODERATE,BULLISH,VOLUME SPIKE,68,63.96666666666668,60.33333333333334,163,False
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,1000.0,26635.7,1389185,694567,1431701,2.0,2.06,2.49,15.21,19.25,1000.0,575.39,0.0,MODERATE,BULLISH,52W HIGH BREAKOUT,77,70.35833333333335,67.66666666666667,36,True
NEOGEN.NS,Neogen Chemicals Limited,Basic Materials,Specialty Chemicals,1401.6,3700.0,113692,56815,39606,2.0,0.7,4.82,4.18,15.17,1875.86,979.8,-25.3,MODERATE,BULLISH,VOLUME SPIKE,53,40.38333333333334,30.29166666666667,1178,False
PREMEXPLN.NS,Premier Explosives Limited,Basic Materials,Specialty Chemicals,527.8,2844.2,426914,226894,276490,1.88,1.22,2.95,12.53,3.38,667.6,311.49,-20.9,MODERATE,BULLISH,ACCUMULATION,49,50.80000000000001,46.62500000000001,766,False
MANKIND.NS,Mankind Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2252.6,92951.3,697805,374406,437516,1.86,1.17,4.5,10.45,7.23,2695.44,2024.3,-16.4,MODERATE,BULLISH,ACCUMULATION,60,52.59166666666667,47.83333333333334,676,True
BLSE.NS,BLS E-Services Limited,Industrials,Specialty Business Services,147.55,1425.4,287461,158105,142225,1.82,0.9,-5.31,-7.61,-8.53,224.19,136.66,-34.2,MODERATE,BEARISH,REVERSAL FROM LOW,57,58.558333333333344,62.79166666666667,383,True
KEI.NS,KEI Industries Limited,Industrials,Electrical Equipment & Parts,4336.0,47799.3,719678,402316,565956,1.79,1.41,-4.43,-12.91,-5.55,5206.0,2506.78,-16.7,MODERATE,BEARISH,VOLUME SPIKE,52,60.033333333333346,56.66666666666667,314,True
POLYCAB.NS,Polycab India Limited,Industrials,Electrical Equipment & Parts,7482.0,127122.5,750188,434598,566671,1.73,1.3,-3.12,-9.68,-3.36,8610.5,4880.54,-13.1,MODERATE,BEARISH,VOLUME SPIKE,57,66.37500000000003,65.25000000000001,88,True
ATULAUTO.NS,Atul Auto Limited,Consumer Cyclical,Auto Manufacturers,519.5,1434.2,1001624,621726,246984,1.61,0.4,8.75,4.96,30.04,538.75,388.65,-3.6,MODERATE,BULLISH,52W HIGH BREAKOUT,65,58.84166666666667,52.79166666666667,367,False
JINDALPOLY.NS,Jindal Poly Films Limited,Consumer Cyclical,Packaging & Containers,625.6,2738.4,766242,476353,1645308,1.61,3.45,-1.95,28.39,60.25,710.78,367.2,-12.0,MODERATE,BEARISH,ACCUMULATION,30,34.41666666666667,24.16666666666667,1288,False
DIXON.NS,Dixon Technologies (India) Limited,Technology,Consumer Electronics,10596.0,62653.3,995596,641342,905413,1.55,1.41,-2.86,4.54,-8.73,18331.0,9804.0,-42.2,MODERATE,BEARISH,REVERSAL FROM LOW,35,48.783333333333346,52.95833333333334,875,True
